PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Flevoland;0034;Almere;reguliere inst.;master;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;man;0;0;4;8;7
Flevoland;0034;Almere;reguliere inst.;master;01VU;Christelijke Hogeschool Windesheim;onderwijs;lerarenopleidingen speciaal onderwijs;44103;M Educational Needs;deeltijd onderwijs;vrouw;0;0;23;35;31
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80006;Ad Dier- en Veehouderij;voltijd onderwijs;man;25;31;51;58;62
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80006;Ad Dier- en Veehouderij;voltijd onderwijs;vrouw;2;2;11;20;21
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80012;Ad Tuinbouw en Akkerbouw;voltijd onderwijs;man;10;13;18;24;37
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80012;Ad Tuinbouw en Akkerbouw;voltijd onderwijs;vrouw;3;1;3;4;4
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;deeltijd onderwijs;man;29;49;67;87;76
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;deeltijd onderwijs;vrouw;3;3;3;6;8
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;man;0;0;10;13;19
Flevoland;0303;Dronten;reguliere inst.;associate degree;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;vrouw;0;0;5;11;15
Flevoland;0303;Dronten;reguliere inst.;bachelor;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;man;33;20;19;19;22
Flevoland;0303;Dronten;reguliere inst.;bachelor;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;vrouw;23;18;11;7;9
Flevoland;0303;Dronten;reguliere inst.;bachelor;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;man;412;411;416;420;411
Flevoland;0303;Dronten;reguliere inst.;bachelor;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;vrouw;305;330;359;378;369
